a,b
160,26.16584175089808
161,49.69886750980365
162,45.93936044366002
163,70.3004151832121
164,58.2684923307614
165,27.585417960424806
166,26.6117776961716
167,64.53589079042864
168,136.03476924866735
169,56.873472743917375
170,14.85891737110843
171,25.35469545364871
172,33.2875953876355
173,21.845154836084337
174,112.96518293916077
175,53.23725169919568
176,64.30279160158112
177,59.13000214831254
178,30.342087375455424
179,5.500247721693997
180,46.51762403025992
181,45.31887648593454
182,63.963252042353
183,55.24114641941544
184,20.31504548185738
185,30.858256104017244
186,57.8491637955487
187,59.89043679186631
188,57.324694646031304
189,54.08267473276447
190,30.043232759018117
191,31.349592719654698
192,37.240778984289065
193,56.33120745495643
194,123.58374043538252
195,78.27226447289142
196,71.28084332593914
197,28.178922070594346
198,21.179561517250082
199,56.35882394228506
200,76.45576565880373
201,27.801515514621215
202,16.808569360429026
203,33.55161799857924
204,0.0
205,41.99158900788715
206,56.38140915641346
207,64.61295132537906
208,58.70784874455639
209,116.26593265754329
210,26.583762350035407
211,19.562772892127672
212,32.179443718819144
213,14.014351778282936
214,19.424837696275027
215,55.09429846624641
216,57.8434194537535
217,23.789795825399406
218,21.236394969388087
219,20.435236073562162
220,42.94437336352067
221,31.988263539251484
222,27.868482307869197
223,84.20060268536172
224,20.541235701390452
225,38.20950770259483
226,63.182039598463604
227,52.392767258202355
228,27.754746422909314
229,60.073241757946185
230,51.33864967308921
231,88.11366407245356
232,67.36504966103962
233,28.648425970712726
234,53.58607102063511
235,35.35534458957905
236,44.75992488357561
237,28.841156342252567
238,22.00197911578622
239,17.35803821583455
240,27.133520375304283
241,55.66358872097197
242,43.861736182553436
243,47.92502689748855
244,63.279127437861135
245,70.06352574653035
246,67.78477832697186
247,25.716049930228326
248,26.707691434833396
249,32.62916496443938
250,24.99404467973737
251,21.93005233988561
252,79.00979769279635
253,65.88793366467905
254,52.17002701781585
255,34.25309669784103
256,73.90722823540362
257,15.155738967513026
258,74.50797172947112
259,42.81376750896593
260,24.599028481832292
261,43.92073310766655
262,29.12999545891397
263,23.514211805058718
264,40.498506355226475
265,32.0513291752943
266,32.83852275038882
267,1.5414890528316751
268,32.896458950326384
269,33.61095874671941
270,21.353634088821682
271,68.6190272533354
272,31.330039643885556
273,38.39071135943845
274,76.99043334798887
275,80.30584402769203
276,16.08642726038001
277,46.287098615009995
278,35.211100062120174
279,24.84387802761686
280,52.66844220624088
281,26.907880136656864
282,26.476681750556942
283,12.31982812473436
284,35.514390773875974
285,30.289939059037742
286,16.22310655635917
287,52.733666665613185
288,72.21157339162784
289,15.181546852174089
290,63.904687389088465
291,98.2531794568885
292,43.70295313100992
293,67.73899975088217
294,98.48063617497205
295,32.664148439182405
296,26.54765389314834
297,34.009820479664164
298,92.81064457550474
299,34.23546753602077
