a,b
117,68.48244250440145
118,89.50618693699336
119,34.47728469298028
120,107.02429223015145
121,23.085387599486186
122,42.54032904766634
123,97.82246887369088
124,109.90381027712579
125,101.69070739295698
126,7.669711858994454
127,72.67084387964717
128,21.051955570286864
129,67.9323014900659
130,82.50748450898257
131,60.421070104478005
132,142.29555700147884
133,82.50748450898257
134,92.08409071106617
135,180.41684272008666
136,67.72961687771347
137,82.50748450898257
138,110.35503107159413
139,68.991303114868
140,70.43578021755825
141,91.28794487789574
142,88.42063300361337
143,79.67703411199123
144,157.23226742625064
145,154.24290615778736
146,90.42508815568257
147,52.02091055832806
148,46.43375382674384
149,64.77649539120037
150,114.00007940538441
151,53.33389011596596
152,90.19914726515503
153,54.86566868270184
154,60.553112897956396
155,65.55340162341675
156,71.87084331566928
157,150.39133260610467
158,144.38951541230412
159,88.24094006318367
160,59.93736699082285
161,76.51115931679509
162,184.07071114233347
163,166.132798596317
164,61.9094250817465
165,47.32475681066973
166,56.6546116725323
167,101.06893996620818
168,190.24537695166035
169,71.92519578932924
170,66.03127025478308
171,48.92820738654978
172,43.701672831643535
173,8.466377537714214
174,76.95297478514868
175,49.44584779331829
176,71.0407939150543
177,65.67695750472001
178,69.89327753507915
179,43.17119358502328
180,110.46694914119111
181,178.002511992293
182,105.06715304038158
183,145.34542926225294
184,207.17982912039463
185,1.7763568394002505e-15
186,100.20013939798955
187,61.75362654714645
188,92.07089999017063
189,0.0
190,28.596829967169793
191,0.7566372975210794
192,172.77840720358748
193,85.00886718454728
194,60.74520094951953
195,75.6121647831881
196,87.32625575495645
197,72.2959684839187
198,85.23884565012946
199,48.83229202219181
200,126.56370114723562
201,8.881784197001252e-16
202,69.55723970049551
203,62.68479044303829
204,118.15566025864234
205,56.34094492168549
206,75.91945356875074
207,14.59548305648594
208,0.0
209,21.14451364393046
210,164.88147568459766
211,93.27316736815342
212,5.329070518200751e-15
213,0.0
214,78.46110750391395
215,0.0
216,85.03613191461615
217,1.1379786002407855e-14
218,0.0
219,38.58957457643337
220,12.583333333333334
221,19.182272135915202
222,93.02776803191615
223,89.16516051827654
224,79.60493888400791
225,8.881784197001252e-16
226,20.81971304166042
227,54.32279111609902
228,111.61437045918416
229,125.50205947137107
230,74.26566245414551
231,62.78314548238563
232,177.2337814836664
233,100.88124164760431
234,142.10876612299467
235,1.7763568394002505e-15
236,77.64197212951254
237,95.12720831770672
238,154.2097282990399
239,17.449795359564437
240,101.20358209833861
241,135.449330584777
242,80.82944376643852
243,79.80782310325218
244,104.31076294739033
245,92.07089999017063
246,64.85022439024625
247,0.0
248,0.0
249,67.67949054714126
250,126.18767028106825
251,88.8712341094547
252,88.2680926626634
253,6.661338147750939e-16
254,93.04481286019676
255,60.09125689778468
256,1.3322676295501878e-15
257,41.79601030304835
