a,b
365,182.87615709772783
366,97.88076023725114
367,231.96483982057458
368,123.40167807305058
369,164.98348569597758
370,141.81475977473366
371,110.92902833972309
372,96.00170443445771
373,56.917589060363824
374,91.20278252942356
375,138.02000263081428
376,163.3042567146979
377,284.6171932620881
378,72.0170153711524
379,172.03467462442038
380,106.91696547305516
381,55.29573270656208
382,102.87476259138677
383,126.8025535638821
384,94.64008247506702
385,198.5538998680858
386,115.010357266991
387,97.55261611875615
388,154.8565846009715
389,192.7803009728828
390,153.7050939939586
391,117.10882537802878
392,310.14364633857537
393,248.75005465580674
394,134.19573047691316
395,40.47849158812627
396,149.16904729882373
397,152.3194027894547
398,101.38896917371673
399,151.0226731250075
400,130.87136485355572
401,298.9292554652354
402,95.303717694258
403,286.0845827719732
404,165.5834280500157
405,111.21554968752729
406,235.46509864049435
407,166.69576105094748
408,161.87068789629393
409,173.4102536192906
410,118.77153239946279
411,174.76347603041248
412,152.46843669614006
413,141.2220043430855
414,102.65083119776781
415,121.94643614896492
416,135.29347122745924
417,227.3111178650928
418,220.05757717635464
419,235.63492879365327
420,84.74086721293344
421,94.4979265645548
422,121.42145449827404
423,125.17787357725847
424,161.5503539066542
425,95.5795730064207
426,94.3835289552826
427,149.5044495005679
428,69.35358330339753
429,200.87155189208877
430,174.14638978436037
431,232.0612194224489
432,103.25432222336052
433,98.17269094360314
434,97.56294238386184
435,119.25486456560166
436,124.77890211318687
437,185.7040606045005
438,262.0913195737668
439,238.94418680185558
440,226.9984489242163
441,131.54249674993852
442,125.60563806598819
443,82.63418152920771
444,239.22048300216153
445,123.57217541525468
446,76.22665751773813
447,47.506105782986154
448,107.38428394936659
449,96.54465165243096
450,121.07151311918072
451,170.8592431508229
452,82.62174557235885
453,127.76012602753326
454,94.43216856147181
455,182.64204451599085
456,131.67492604209
457,160.75621776961756
458,106.94098599506498
459,78.72502675277332
460,158.09641656919177
461,161.43942775984524
462,198.05528740112447
463,117.23187900198488
464,182.52323467396624
465,246.09455909327082
466,118.12608547894172
467,255.79371080521125
468,109.14888735547186
469,110.88798457250132
470,105.30158179667903
471,134.67999719383684
472,105.73387230747788
473,112.73717080991986
474,118.36665614879755
475,45.11338174913098
476,178.06125752524537
477,76.49136533428542
478,161.4741538603975
479,143.31362231123023
480,122.27617802298565
481,166.4780831916935
482,134.80123678205987
483,134.0042368245094
484,140.3320771416783
485,60.6950216702784
486,93.43972536139852
487,91.16444099772004
488,175.14512268401882
489,138.7542635943209
490,211.9404875441669
491,46.903397275677186
492,60.11158052988387
493,62.45199156151868
494,96.55156889849508
495,153.33364472593186
496,40.04303934518459
497,141.5269775973563
498,212.44639900625685
499,101.54192199125684
500,126.90355062466696
501,102.7711728169622
502,249.86420236653626
503,57.84937405109522
504,167.471709398931
505,189.1696836923859
506,129.13163501561323
507,34.653271534114786
508,156.95956934842005
509,79.05554797231456
510,127.89079230943067
511,205.90177615143114
512,155.98678539908644
513,128.0906690274031
514,177.47097667101087
515,162.41533571268442
516,44.1688657988341
517,145.30326851283886
518,116.35421950509566
519,186.58253794164426
520,135.38739158540727
521,131.6673890097451
522,150.7124514004748
523,100.35504171469559
524,162.94943743225434
525,108.60351509353745
526,127.00590986877904
527,134.51058629507116
528,252.71848768048645
529,132.34124921503687
530,119.74168099134546
531,95.39618127984879
532,98.76795129000027
533,115.16329259904985
534,162.63536318422834
535,114.09963478009657
536,141.11546051982793
537,196.47157796768622
538,126.2824594943706
539,148.9016674870487
540,220.37609244587506
541,142.9189778277954
542,338.77927032213756
543,157.1597972682886
544,173.42003360580915
545,141.3521691692763
546,170.2477348481812
547,201.60504461535945
548,98.944669522765
549,175.81723395688488
550,146.5911330629571
551,142.7576814866279
552,153.34088063111957
553,151.32629864896646
554,132.92250434957404
555,266.6925078209767
556,208.79297502145735
557,44.11720549095102
558,146.54332897400022
559,46.285518165903454
560,223.37077779279596
561,208.42569980347514
562,282.6930249217831
563,141.80378101181284
564,95.11620425096405
565,132.5672346991983
566,81.83791756979473
567,51.038158532915745
568,117.30147012231846
569,165.369249186456
570,137.47487378631232
571,353.6012536084572
572,154.8039645316292
573,134.7379541939959
574,104.7533623645582
575,230.61002619369452
576,81.0844118965985
577,160.45253231555424
578,284.30085054718734
579,134.44173764444835
580,106.11368903647958
581,110.11952030540616
582,73.87075413769924
583,193.8620744883475
584,205.97022036638637
585,80.6791499032426
586,101.55312024259877
587,201.9777344816338
588,168.22773173588237
589,121.08929718849576
590,93.70150951533877
591,59.3695953653094
592,101.80172503372178
593,258.24655205339826
594,163.12500183711683
595,174.930259618232
596,127.298057595011
597,118.69939178693718
598,159.65880459816256
599,177.46014871017374
